timestamp,determinand,unit,value,tank,tank_num
2023-04-06 23:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-06 23:00:00,tl,C,9.49,CON.AVG,1.0
2023-04-06 23:00:00,ts,C,10.45,CON.AVG,1.0
2023-04-07 00:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-07 00:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-07 00:00:00,tl,C,9.0,CON.AVG,1.0
2023-04-07 00:00:00,ts,C,10.19,CON.AVG,1.0
2023-04-07 01:00:00,ph,pH,7.33,CON.AVG,1.0
2023-04-07 01:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-07 01:00:00,tl,C,8.6,CON.AVG,1.0
2023-04-07 01:00:00,ts,C,9.91,CON.AVG,1.0
2023-04-07 02:00:00,ph,pH,7.33,CON.AVG,1.0
2023-04-07 02:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-07 02:00:00,tl,C,8.29,CON.AVG,1.0
2023-04-07 02:00:00,ts,C,9.67,CON.AVG,1.0
2023-04-07 03:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-07 03:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-07 03:00:00,tl,C,8.0,CON.AVG,1.0
2023-04-07 03:00:00,ts,C,9.38,CON.AVG,1.0
2023-04-07 04:00:00,ph,pH,7.33,CON.AVG,1.0
2023-04-07 04:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-07 04:00:00,tl,C,7.7,CON.AVG,1.0
2023-04-07 04:00:00,ts,C,9.15,CON.AVG,1.0
2023-04-07 05:00:00,ph,pH,7.3,CON.AVG,1.0
2023-04-07 05:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-07 05:00:00,tl,C,7.34,CON.AVG,1.0
2023-04-07 05:00:00,ts,C,8.82,CON.AVG,1.0
2023-04-07 06:00:00,ph,pH,7.32,CON.AVG,1.0
2023-04-07 06:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-07 06:00:00,tl,C,6.9,CON.AVG,1.0
2023-04-07 06:00:00,ts,C,8.53,CON.AVG,1.0
2023-04-07 07:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-07 07:00:00,ph,pH,7.31,CON.AVG,1.0
2023-04-07 07:00:00,pr,mBar,1003.0,CON.AVG,1.0
2023-04-07 07:00:00,tl,C,6.69,CON.AVG,1.0
2023-04-07 07:00:00,ts,C,8.4,CON.AVG,1.0
2023-04-07 08:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-07 08:00:00,pr,mBar,1007.13,CON.AVG,1.0
2023-04-07 08:00:00,tl,C,7.1,CON.AVG,1.0
2023-04-07 08:00:00,ts,C,8.75,CON.AVG,1.0
2023-04-07 09:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-07 09:00:00,pr,mBar,1007.13,CON.AVG,1.0
2023-04-07 09:00:00,tl,C,7.73,CON.AVG,1.0
2023-04-07 09:00:00,ts,C,8.88,CON.AVG,1.0
2023-04-07 10:00:00,ph,pH,7.32,CON.AVG,1.0
2023-04-07 10:00:00,pr,mBar,1007.13,CON.AVG,1.0
2023-04-07 10:00:00,tl,C,8.33,CON.AVG,1.0
2023-04-07 10:00:00,ts,C,9.31,CON.AVG,1.0
2023-04-07 11:00:00,ph,pH,7.3,CON.AVG,1.0
2023-04-07 11:00:00,pr,mBar,1007.13,CON.AVG,1.0
2023-04-07 11:00:00,tl,C,8.76,CON.AVG,1.0
2023-04-07 11:00:00,ts,C,9.96,CON.AVG,1.0
2023-04-07 12:00:00,ph,pH,7.29,CON.AVG,1.0
2023-04-07 12:00:00,pr,mBar,1007.13,CON.AVG,1.0
2023-04-07 12:00:00,tl,C,9.22,CON.AVG,1.0
2023-04-07 12:00:00,ts,C,10.52,CON.AVG,1.0
2023-04-07 13:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-07 13:00:00,ph,pH,7.27,CON.AVG,1.0
2023-04-07 13:00:00,pr,mBar,1007.55,CON.AVG,1.0
2023-04-07 13:00:00,tl,C,9.56,CON.AVG,1.0
2023-04-07 13:00:00,ts,C,11.02,CON.AVG,1.0
2023-04-07 14:00:00,ph,pH,7.29,CON.AVG,1.0
2023-04-07 14:00:00,pr,mBar,1008.23,CON.AVG,1.0
2023-04-07 14:00:00,tl,C,9.92,CON.AVG,1.0
2023-04-07 14:00:00,ts,C,11.48,CON.AVG,1.0
